CustomerKey,CustomerID,CustomerName,Email,Location,SignupDate
1,CUST100,Barbara Flynn,jlutz@yahoo.com,Sharonhaven,2023-01-10
2,CUST101,Susan Diaz,bmueller@roberts.com,Port Ericmouth,2023-09-14
3,CUST102,Terry Green,blakethompson@price-young.com,East Shawn,2024-09-20
4,CUST103,Kimberly Garza,julie20@yahoo.com,North Williamtown,2022-12-02
5,CUST104,David Turner,rangelshannon@hotmail.com,South Staceymouth,2023-05-07
6,CUST105,Nicole Ramirez,james53@adams.info,Joshuamouth,2022-06-04
7,CUST106,Patrick Kelley,qwilliams@aguilar.com,Lake Amandaview,2024-07-15
8,CUST107,Robin Barnes,ureese@white-montgomery.com,Rogerfurt,2022-09-03
9,CUST108,Robin Beck,lori26@hotmail.com,Royland,2024-01-27
10,CUST109,Yolanda Smith,gramirez@yahoo.com,Villarrealchester,2022-10-24
11,CUST110,Reginald Ewing,aaron47@yahoo.com,Lake Josetown,2024-04-14
12,CUST111,Daniel Fernandez,jrobinson@potter.net,Nealberg,2022-11-26
13,CUST112,Isabella Mccall,davischristopher@perkins.info,East Michelle,2025-02-08
14,CUST113,Shawn Goodman,barnesholly@brown.com,North Taylor,2024-12-23
15,CUST114,Kristina Singleton,ksmith@yahoo.com,Port Cristianborough,2024-06-15
16,CUST115,Heather Day,melissa63@alexander.org,West Sara,2024-10-25
17,CUST116,Melinda Gibbs,ashleybrianna@ramirez.org,Saraport,2024-11-01
18,CUST117,Amanda Parker,michael56@hotmail.com,North Derek,2024-10-17
19,CUST118,Hannah Weber,tamara22@mahoney.com,Brandonhaven,2022-12-03
20,CUST119,Katie Wilkerson,jongallagher@jordan.com,Port Bradleybury,2022-08-23
21,CUST120,Shannon Greene,fcarpenter@hotmail.com,Port Thomas,2023-08-30
22,CUST121,Tanya Nelson,higginsanthony@carter.com,East Robert,2023-09-17
23,CUST122,Michael Kaiser,melissameyer@gmail.com,Kimtown,2025-03-05
24,CUST123,Erin Leonard,sallycervantes@mccoy-ingram.com,Johnsonstad,2024-06-14
25,CUST124,Michael Taylor,mollycochran@yahoo.com,Lake Gary,2024-07-19
26,CUST125,Lori Watson,kristina51@yahoo.com,New Kellyberg,2024-02-11
27,CUST126,Dr. Krista Lewis DDS,ywright@gmail.com,West Brittanybury,2024-07-20
28,CUST127,Marissa Morgan,vtanner@williams.biz,New Michaelfort,2025-04-21
29,CUST128,Meagan Padilla,jamesduncan@gmail.com,Port Justinport,2022-10-15
30,CUST129,Alexander Torres,dorozco@hudson.com,North Wayneview,2022-08-28
31,CUST130,Jesus Gordon,sglover@bell.org,Ericaborough,2023-09-18
32,CUST131,Timothy Wheeler,cherman@riley.com,North Carlaton,2023-03-29
33,CUST132,James Dodson,hollysandoval@garner.info,Christophertown,2023-12-07
34,CUST133,David Smith,loganhensley@mckinney.com,East Sabrina,2023-09-23
35,CUST134,Emily Weber,gmartin@gmail.com,West Anita,2023-07-26
36,CUST135,Travis Ritter,parrishjennifer@oliver-williams.net,Perkinsfort,2024-10-01
37,CUST136,Laura Johnson,ydouglas@gmail.com,Kylestad,2024-05-05
38,CUST137,Bradley Norton,deborahbraun@anderson.com,Port Anne,2023-03-16
39,CUST138,Karen Hudson,villavictoria@yahoo.com,New Kimberly,2024-03-06
40,CUST139,Jason Woodard,schmidtdebbie@lawrence.biz,New Rodneyfort,2022-07-30
41,CUST140,Molly Sandoval,martinezjohn@welch.net,North Emily,2024-10-18
42,CUST141,Kevin Phillips MD,chelsea94@oconnor-mueller.com,Morenoshire,2023-04-28
43,CUST142,Scott Warren,david30@garcia.com,West Sarah,2023-10-18
44,CUST143,Natalie Doyle,jessica90@hotmail.com,New Thomastown,2024-10-20
45,CUST144,Lee Acosta,faguirre@gmail.com,Vasquezside,2023-09-08
46,CUST145,Morgan Rodriguez,martinstacy@conner-armstrong.com,West Samanthaburgh,2023-06-26
47,CUST146,Mr. Joshua Owens,kaitlynpotter@yahoo.com,West Michelebury,2023-02-04
48,CUST147,Michael Long,qcline@gmail.com,Lake Michael,2023-07-13
49,CUST148,Matthew Ramirez,elliottjeffrey@yahoo.com,Andersontown,2024-09-03
